,Town name,Latitude,Longitude
0,Benešov,49°46′54″,14°41′13″
1,Bernartice (okres Benešov),49°40′32″,15°7′45″
2,Bílkovice,49°45′35″,14°51′40″
3,Blažejovice,49°37′11″,15°12′0″
4,Borovnice (okres Benešov),49°38′56″,15°1′6″
5,Bukovany (okres Benešov),49°49′22″,14°37′28″
6,Bystřice (okres Benešov),49°43′56″,14°40′3″
7,Ctiboř (okres Benešov),49°44′12″,14°54′15″
8,Čakov (okres Benešov),49°49′32″,14°50′11″
9,Čechtice,49°37′27″,15°2′54″
10,Čerčany,49°51′11″,14°42′11″
11,Červený Újezd (okres Benešov),49°33′20″,14°36′15″
12,Český Šternberk,49°48′39″,14°55′42″
13,Čtyřkoly,49°52′7″,14°43′11″
14,Děkanovice,49°37′7″,15°8′55″
15,Divišov,49°47′19″,14°52′33″
16,Dolní Kralovice,49°38′42″,15°10′43″
17,Drahňovice,49°49′21″,14°54′6″
18,Dunice,49°36′12″,15°9′10″
19,Heřmaničky,49°36′19″,14°34′57″
20,Hradiště (okres Benešov),49°41′3″,14°50′55″
21,Hulice,49°42′35″,15°5′15″
22,Hvězdonice,49°52′22″,14°46′38″
23,Chářovice,49°49′13″,14°34′40″
24,Chleby (okres Benešov),49°49′37″,14°33′25″
25,Chlístov (okres Benešov),49°48′6″,14°39′17″
26,"Chlum (obec, okres Benešov)",49°41′35″,14°59′45″
27,Chmelná,49°38′53″,14°59′18″
28,Chocerady,49°52′23″,14°48′8″
29,Choratice,49°50′22″,14°52′29″
30,Chotýšany,49°44′39″,14°48′53″
31,Chrášťany (okres Benešov),49°47′32″,14°34′55″
32,Jankov (okres Benešov),49°39′11″,14°43′51″
33,Javorník (okres Benešov),49°41′12″,15°1′36″
34,Ješetice,49°34′52″,14°36′37″
35,Kamberk,49°35′50″,14°50′25″
36,Keblov,49°40′40″,15°4′19″
37,Kladruby (okres Benešov),49°43′24″,14°57′
38,Kondrac,49°40′2″,14°53′4″
39,Kozmice (okres Benešov),49°49′29″,14°47′46″
40,Krhanice,49°51′22″,14°33′27″
41,Krňany,49°50′42″,14°28′39″
42,Křečovice,49°43′17″,14°28′32″
43,Křivsoudov,49°37′59″,15°5′15″
44,Kuňovice,49°39′30″,14°59′58″
45,Lešany (okres Benešov),49°50′39″,14°31′30″
46,Libež,49°45′27″,14°55′
47,Litichovice,49°46′59″,14°51′2″
48,Loket (okres Benešov),49°39′20″,15°7′
49,Louňovice pod Blaníkem,49°38′14″,14°50′48″
50,Lštění,49°51′52″,14°42′52″
51,Maršovice (okres Benešov),49°42′49″,14°33′52″
52,Mezno,49°32′5″,14°38′42″
53,Miličín,49°34′15″,14°39′41″
54,Miřetice (okres Benešov),49°39′32″,14°58′36″
55,Mnichovice (okres Benešov),49°40′7″,15°2′23″
56,Mrač,49°49′47″,14°41′26″
57,Načeradec,49°36′37″,14°54′23″
58,Nespeky,49°51′34″,14°39′34″
59,Netvořice,49°48′57″,14°31′6″
60,Neustupov,49°36′54″,14°41′55″
61,Neveklov,49°45′14″,14°31′59″
62,Olbramovice (okres Benešov),49°40′2″,14°38′22″
63,Ostrov (okres Benešov),49°39′55″,14°51′4″
64,Ostředek,49°50′5″,14°49′56″
65,Pavlovice (okres Benešov),49°42′55″,14°55′59″
66,Petroupim,49°48′30″,14°45′10″
67,Popovice (okres Benešov),49°41′44″,14°45′9″
68,Poříčí nad Sázavou,49°50′20″,14°40′28″
69,Postupice,49°43′41″,14°46′38″
70,Pravonín,49°38′8″,14°56′36″
71,Přestavlky u Čerčan,49°51′11″,14°44′39″
72,Psáře,49°45′21″,14°57′43″
73,Pyšely,49°52′37″,14°40′38″
74,Rabyně,49°48′51″,14°26′10″
75,Radošovice (okres Benešov),49°44′28″,14°52′3″
76,Rataje (okres Benešov),49°42′15″,14°58′14″
77,Ratměřice,49°38′36″,14°45′22″
78,Řehenice,49°52′11″,14°39′1″
79,Řimovice,49°41′47″,14°56′35″
80,Sázava (okres Benešov),49°52′18″,14°53′48″
81,Slověnice,49°45′26″,14°53′7″
82,Smilkov,49°36′9″,14°37′3″
83,Snět,49°37′35″,15°13′37″
84,Soběhrdy,49°49′16″,14°44′3″
85,Soutice,49°43′34″,15°3′11″
86,Stranný,49°45′14″,14°29′39″
87,Strojetice,49°39′6″,15°3′58″
88,Struhařov (okres Benešov),49°45′56″,14°45′44″
89,Střezimíř,49°31′55″,14°36′41″
90,Studený,49°36′27″,15°7′40″
91,Šetějovice,49°38′43″,15°13′21″
92,Tehov (okres Benešov),49°44′8″,14°58′
93,Teplýšovice,49°48′22″,14°48′6″
94,Tichonice,49°46′38″,14°59′32″
95,Tisem,49°45′21″,14°36′29″
96,Tomice,49°38′42″,15°9′26″
97,Trhový Štěpánov,49°42′42″,15°0′49″
98,Třebešice (okres Benešov),49°46′31″,14°49′55″
99,Týnec nad Sázavou,49°50′,14°35′24″
100,Václavice,49°47′22″,14°36′49″
101,Veliš (okres Benešov),49°40′7″,14°49′23″
102,Vlašim,49°42′23″,14°53′56″
103,Vodslivy,49°50′59″,14°50′14″
104,Vojkov,49°39′8″,14°31′11″
105,Votice,49°38′25″,14°38′17″
106,Vracovice (okres Benešov),49°39′45″,14°55′56″
107,Vranov (okres Benešov),49°51′12″,14°46′37″
108,Vrchotovy Janovice,49°40′,14°34′40″
109,Všechlapy (okres Benešov),49°46′45″,14°54′51″
110,Vysoký Újezd (okres Benešov),49°48′48″,14°28′35″
111,Xaverov,49°50′34″,14°53′8″
112,Zdislavice,49°41′12″,14°58′28″
113,Zvěstov,49°37′58″,14°47′32″
114,Bavoryně,49°53′45″,13°57′40″
115,Beroun,49°57′50″,14°4′19″
116,Běštín,49°48′27″,14°0′59″
117,Broumy,49°57′19″,13°51′8″
118,Březová (okres Beroun),49°54′15″,13°52′59″
119,Bubovice,49°58′11″,14°10′0″
120,Bykoš,49°52′59″,14°3′49″
121,Bzová (okres Beroun),49°53′53″,13°51′45″
122,Cerhovice,49°50′59″,13°50′6″
123,Drozdov (okres Beroun),49°51′48″,13°50′26″
124,Felbabka,49°48′48″,13°56′31″
125,Hlásná Třebaň,49°55′20″,14°11′55″
126,Hořovice,49°50′10″,13°54′10″
127,Hostomice (okres Beroun),49°49′31″,14°2′44″
128,Hředle (okres Beroun),49°54′14″,13°55′14″
129,Hudlice,49°57′40″,13°58′15″
130,Hvozdec (okres Beroun),49°48′26″,13°52′49″
131,Hýskov,49°59′27″,14°3′2″
132,Chaloupky (okres Beroun),49°47′29″,13°52′18″
133,Chlustina,49°52′41″,13°55′10″
134,Chodouň,49°53′54″,13°59′12″
135,Chrustenice,50°0′22″,14°9′8″
136,Chyňava,50°1′39″,14°4′27″
137,Jivina (okres Beroun),49°47′37″,13°50′16″
138,Karlštejn (městys),49°56′15″,14°11′10″
